species	genome_sequence_num	genome_sequence_length	totol_masked_length	totol_masked_perc	Retroelements_num	Retroelements_len	Retroelements_perc	SINEs_num	SINEs_len	SINEs_perc	Penelope_num	Penelope_len	Penelope_perc	LINEs_num	LINEs_len	LINEs_perc	CRE/SLACS_num	CRE/SLACS_len	CRE/SLACS_perc	L2/CR1/Rex_num	L2/CR1/Rex_len	L2/CR1/Rex_perc	R1/LOA/Jockey_num	R1/LOA/Jockey_len	R1/LOA/Jockey_perc	R2/R4/NeSL_num	R2/R4/NeSL_len	R2/R4/NeSL_perc	RTE/Bov-B_num	RTE/Bov-B_len	RTE/Bov-B_perc	L1/CIN4_num	L1/CIN4_len	L1/CIN4_perc	LTR_num	LTR_len	LTR_perc	BEL/Pao_num	BEL/Pao_len	BEL/Pao_perc	Ty1/Copia_num	Ty1/Copia_len	Ty1/Copia_perc	Gypsy/DIRS1_num	Gypsy/DIRS1_len	Gypsy/DIRS1_perc	Retroviral_num	Retroviral_len	Retroviral_perc	DNA_num	DNA_len	DNA_perc	hobo-Activator_num	hobo-Activator_len	hobo-Activator_perc	Tc1-IS630-Pogo_num	Tc1-IS630-Pogo_len	Tc1-IS630-Pogo_perc	En-Spm_num	En-Spm_len	En-Spm_perc	MuDR-IS905_num	MuDR-IS905_len	MuDR-IS905_perc	PiggyBac_num	PiggyBac_len	PiggyBac_perc	Tourist/Harbinger_num	Tourist/Harbinger_len	Tourist/Harbinger_perc	Other_num	Other_len	Other_perc	Rolling-circles_num	Rolling-circles_len	Rolling-circles_perc	Unclassified_num	Unclassified_len	Unclassified_perc	Total_interspersed_repeats_len	Total_interspersed_repeats_perc	Small_RNA_num	Small_RNA_len	Small_RNA_perc	Satellites_num	Satellites_len	Satellites_perc	Simple_repeats_num	Simple_repeats_len	Simple_repeats_perc	Low_complexity_num	Low_complexity_len	Low_complexity_perc
Charadrius_vociferus	15167	1219859583	109272176	0.08960000000000001	189149	74209672	0.0608	10942	1361446	0.0011	163	35593	0.0	163734	66502547	0.0545	0	0	0.0	158386	66108956	0.0542	0	0	0.0	5071	332864	0.0003	20	1431	0.0	94	23703	0.0	14473	6345679	0.0052	0	0	0.0	0	0	0.0	293	57530	0.0	13941	6243926	0.0051	29040	4826150	0.004	5021	897469	0.0007000000000000001	750	133455	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8941	935863	0.0008	0	0	0.0	63	10057	0.0	71632	18096543	0.0148	97132365	0.0796	2443	347808	0.0003	876	158468	0.0001	247482	9665700	0.0079	49357	2263875	0.0019
Acanthisitta_chloris	53875	1035876403	102653446	0.09910000000000001	265074	78885051	0.0762	6664	823128	0.0008	125	25913	0.0	236228	68932880	0.0665	0	0	0.0	229223	68385546	0.066	0	0	0.0	6650	473333	0.0005	150	29155	0.0	80	18933	0.0	22182	9129043	0.0088	0	0	0.0	0	0	0.0	114	21905	0.0	21900	9076225	0.0088	17201	2747914	0.0027	2744	477323	0.0005	523	92349	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4530	462017	0.0004	0	0	0.0	48	6808	0.0	62317	12915614	0.0125	94548579	0.0913	1724	233905	0.0002	1559	165666	0.0002	136785	6314216	0.0060999999999999995	30516	1581864	0.0015
Apaloderma_vittatum	54728	1070836417	103697754	0.0968	241354	72815663	0.068	7833	937759	0.0009	134	27006	0.0	220272	66486150	0.0621	0	0	0.0	211865	65188761	0.060899999999999996	0	0	0.0	6221	392281	0.0004	1977	859893	0.0008	75	18209	0.0	13249	5391754	0.005	0	0	0.0	0	0	0.0	44	4856	0.0	13025	5354071	0.005	19502	3382417	0.0032	3160	551380	0.0005	1040	400940	0.0004	0	0	0.0	0	0	0.0	0	0	0.0	5046	521600	0.0005	0	0	0.0	52	7280	0.0	72615	18962405	0.0177	95160485	0.0889	1913	242386	0.0002	962	118803	0.0001	164428	6656345	0.0062	37457	1710365	0.0016
Aptenodytes_forsteri	10672	1254347440	87790583	0.07	169393	49573058	0.0395	13129	1693191	0.0013	170	37179	0.0	141011	42701458	0.034	0	0	0.0	136125	42356627	0.0338	0	0	0.0	4584	280330	0.0002	36	2708	0.0	96	24614	0.0	15253	5178409	0.0040999999999999995	0	0	0.0	0	0	0.0	350	77105	0.0001	14634	5051232	0.004	36212	6073434	0.0048	6830	1202521	0.001	815	149053	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	11834	1304401	0.001	0	0	0.0	89	12983	0.0	93389	21419655	0.0171	77066147	0.061399999999999996	2923	426398	0.0003	1065	138831	0.0001	212970	8657747	0.0069	40169	1862611	0.0015
Balearica_regulorum	53490	1127605500	86236702	0.0765	153831	51928615	0.0461	11083	1411277	0.0013	471	88590	0.0001	127238	44358769	0.0393	0	0	0.0	123254	43995515	0.039	0	0	0.0	3382	247472	0.0002	35	2190	0.0	96	25002	0.0	15510	6158569	0.0055000000000000005	0	0	0.0	0	0	0.0	140	27162	0.0	15138	6086806	0.0054	30826	5105910	0.0045000000000000005	6026	1053323	0.0009	756	135139	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	9214	977804	0.0009	0	0	0.0	78	11448	0.0	78384	19096258	0.0169	76130783	0.0675	2460	355627	0.0003	791	76322	0.0001	221476	8060146	0.0070999999999999995	42486	1921171	0.0017000000000000001
Buceros_rhinoceros	62257	1065782791	79350452	0.0745	144475	48751649	0.045700000000000005	10654	2123995	0.002	771	114771	0.0001	119959	40936436	0.0384	0	0	0.0	108763	39192598	0.0368	0	0	0.0	5657	394319	0.0004	4696	1216426	0.0011	72	18322	0.0	13862	5691218	0.0053	0	0	0.0	0	0	0.0	144	27682	0.0	13551	5634167	0.0053	20559	3483474	0.0033	3750	751465	0.0007000000000000001	952	250633	0.0002	0	0	0.0	0	0	0.0	0	0	0.0	5518	559189	0.0005	0	0	0.0	48	7209	0.0	85223	19353769	0.0182	71588892	0.0672	1722	235122	0.0002	643	79783	0.0001	158280	6134904	0.0058	33009	1508233	0.0014000000000000002
Calypte_anna	54736	1105676412	104908404	0.0949	220096	69644202	0.063	6251	741760	0.0007000000000000001	110	22565	0.0	198802	62577952	0.056600000000000004	0	0	0.0	192890	61744917	0.0558	0	0	0.0	5134	345386	0.0003	605	450128	0.0004	63	14956	0.0	15043	6324490	0.005699999999999999	0	0	0.0	0	0	0.0	120	44281	0.0	14749	6249915	0.005699999999999999	15372	2407018	0.0022	2447	417239	0.0004	502	88175	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	4036	406963	0.0004	0	0	0.0	45	6734	0.0	82381	17797577	0.0161	89848797	0.08130000000000001	1628	212819	0.0002	971	139130	0.0001	266267	11782572	0.010700000000000001	57170	3081745	0.0028000000000000004
Antrostomus_carolinensis	70122	1119683066	110931767	0.09910000000000001	232042	73101559	0.0653	9575	1190538	0.0011	151	30603	0.0	205158	65135864	0.0582	0	0	0.0	198113	64613582	0.057699999999999994	0	0	0.0	6655	435467	0.0004	156	35787	0.0	83	20425	0.0	17309	6775157	0.0060999999999999995	0	0	0.0	0	0	0.0	205	38013	0.0	16898	6699704	0.006	25562	4200147	0.0038	4669	823584	0.0007000000000000001	669	116518	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	7400	772030	0.0007000000000000001	0	0	0.0	56	9280	0.0	82650	20706861	0.018500000000000003	98008567	0.0875	2172	298271	0.0003	1282	158096	0.0001	255196	10475631	0.009399999999999999	48390	2235904	0.002
Cariama_cristata	53474	1132245425	79527485	0.0702	147021	51143186	0.0452	11762	1434832	0.0013	160	35768	0.0	121059	43877704	0.0388	0	0	0.0	117468	43568811	0.0385	0	0	0.0	3156	208508	0.0002	178	41059	0.0	97	23558	0.0	14200	5830650	0.0051	0	0	0.0	0	0	0.0	259	62596	0.0001	13708	5725104	0.0051	29669	4960258	0.0044	5612	1002740	0.0009	749	132137	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	8870	952266	0.0008	0	0	0.0	68	10287	0.0	64270	14331053	0.0127	70434497	0.0622	2388	343649	0.0003	642	67401	0.0001	188829	7104374	0.0063	40738	1866602	0.0016
Cathartes_aura	104141	1152571117	72697583	0.06309999999999999	131215	38070569	0.033	14785	1844584	0.0016	496	89276	0.0001	100082	31647523	0.0275	0	0	0.0	97061	31330174	0.027200000000000002	0	0	0.0	2292	173984	0.0002	33	2222	0.0	102	27224	0.0	16348	4578462	0.004	0	0	0.0	0	0	0.0	318	73151	0.0001	15771	4456170	0.0039000000000000003	37984	6362353	0.0055000000000000005	6991	1216326	0.0011	870	157832	0.0001	0	0	0.0	0	0	0.0	0	0	0.0	12578	1360792	0.0012	0	0	0.0	90	13922	0.0	98890	19271139	0.0167	63704061	0.0553	2999	435735	0.0004	776	96302	0.0001	189686	7159319	0.0062	36975	1676335	0.0015
